,radius,c,dim_5,clusters,discard ratio,time
0,0.05,2,FALSE,122,0.996865305,24.98293257
1,0.05,2,TRUE,804,0.985693098,144.3063748
2,0.05,4,FALSE,139,0.992480619,59.79601812
3,0.05,4,TRUE,855,0.973160796,291.2656984
4,0.05,6,FALSE,141,0.988711213,110.1224601
5,0.05,6,TRUE,866,0.965531311,375.837883
6,0.05,8,FALSE,143,0.985557088,124.4070928
7,0.05,8,TRUE,866,0.961431597,440.3724897
8,0.1,2,FALSE,16,0.999242233,12.15761399
9,0.1,2,TRUE,71,0.996424894,64.83392215
10,0.1,4,FALSE,16,0.997428773,40.12693644
11,0.1,4,TRUE,78,0.98676822,248.6450274
12,0.1,6,FALSE,18,0.995472827,69.24468422
13,0.1,6,TRUE,79,0.97475405,484.5288677
14,0.1,8,FALSE,19,0.99311533,103.332396
15,0.1,8,TRUE,83,0.964870694,679.5335269
16,0.2,2,FALSE,2,0.999825131,3.916693449
17,0.2,2,TRUE,8,0.999300523,19.87016082
18,0.2,4,FALSE,2,0.999255186,14.70306849
19,0.2,4,TRUE,8,0.996515567,98.38432527
20,0.2,6,FALSE,2,0.99824483,33.64198399
21,0.2,6,TRUE,8,0.990764309,270.0748444
22,0.2,8,FALSE,2,0.996696913,58.52288294
23,0.2,8,TRUE,9,0.982616693,514.4758737
24,0.3,2,FALSE,1,0.99992228,2.098265171
25,0.3,2,TRUE,2,0.999689121,9.219727039
26,0.3,4,FALSE,1,0.999747411,5.412738562
27,0.3,4,TRUE,2,0.998251307,51.35932398
28,0.3,6,FALSE,1,0.999313476,14.42784572
29,0.3,6,TRUE,3,0.995790183,135.0306556
30,0.3,8,FALSE,1,0.998652858,28.36377025
31,0.3,8,TRUE,3,0.992292796,258.1716802
32,0.4,2,FALSE,1,0.999967617,1.179249048
33,0.4,2,TRUE,2,0.999876944,4.013712406
34,0.4,4,FALSE,1,0.99992228,1.839029312
35,0.4,4,TRUE,2,0.999481869,15.99716926
36,0.4,6,FALSE,1,0.999792747,4.87640667
37,0.4,6,TRUE,3,0.998639905,42.62720847
38,0.4,8,FALSE,1,0.999598448,7.028064728
39,0.4,8,TRUE,3,0.997189137,89.09133935
40,0.5,2,FALSE,1,0.99998057,0.891525745
41,0.5,2,TRUE,1,0.99992228,2.610615492
42,0.5,4,FALSE,1,0.99996114,1.067246675
43,0.5,4,TRUE,1,0.999695598,8.12738204
44,0.5,6,FALSE,1,0.999935234,1.380850554
45,0.5,6,TRUE,1,0.999345859,17.2274878
46,0.5,8,FALSE,1,0.999876944,2.202131987
47,0.5,8,TRUE,1,0.998775915,33.162359
