,radius,c,dim_5,clusters,discard ratio,time
0,0.1,2,False,9,0.9994300555048219,9.292097330093384
1,0.1,2,True,48,0.9970855111042027,62.02813243865967
2,0.1,4,False,10,0.9979533811309512,26.8216712474823
3,0.1,4,True,57,0.9866063043633138,312.987606048584
4,0.1,6,False,10,0.9954145374706123,68.51083588600159
5,0.1,6,True,57,0.9705701387944379,687.33003282547
6,0.1,8,False,10,0.9924352821549083,108.70691633224487
7,0.1,8,True,59,0.9515093814159234,1091.262380361557
8,0.2,2,False,3,0.99990285037014,1.7239646911621094
9,0.2,2,True,8,0.9994559620727845,12.241116523742676
10,0.2,4,False,4,0.9997603642463455,3.3627912998199463
11,0.2,4,True,11,0.9976425023153995,55.14625525474548
12,0.2,6,False,3,0.999255186171074,9.153495073318481
13,0.2,6,True,13,0.9943588448261346,128.3486771583557
14,0.2,8,False,3,0.9987888679477465,14.610822916030884
15,0.2,8,True,13,0.9895661297530456,230.11722445487976
